date,regime,regime_label,portfolio_USMV_overlay,portfolio_cash_baseline,SPY,USMV,cumret_USMV_overlay_pct,cumret_cash_baseline_pct,cumret_SPY_pct,cumret_USMV_etf_pct,portfolio_USMV_USD,portfolio_cash_USD,cash_USD,positions_value_USD,n_positions
2024-04-08,0,bull,201.982,201.982,138.7112,116.7433,101.982,101.982,38.7112,16.7433,2019.8202,2019.8202,1308.5501,584.6759,9
2024-04-09,0,bull,201.7429,201.7429,138.8716,116.7716,101.7429,101.7429,38.8716,16.7716,2017.4292,2017.4292,1337.3121,554.7389,9
2024-04-10,0,bull,199.4788,199.4788,137.4811,115.6367,99.4788,99.4788,37.4811,15.6367,1994.788,1994.788,1410.4353,467.0652,8
2024-04-11,0,bull,201.86,201.86,138.5187,115.3955,101.86,101.86,38.5187,15.3955,2018.6005,2018.6005,1438.6116,460.5457,7
2024-04-12,1,bear,198.9128,199.74,136.6067,114.1471,98.9128,99.74,36.6067,14.1471,1989.1281,1997.3996,1516.8658,368.3837,6
2024-04-15,1,bear,197.78,199.0818,134.8952,113.4661,97.78,99.0818,34.8952,13.4661,1977.7998,1990.8179,1570.4285,310.8921,5
2024-04-16,1,bear,196.9356,198.2942,134.6492,113.381,96.9356,98.2942,34.6492,13.381,1969.3556,1982.9415,1603.0311,271.5131,5
2024-04-17,1,bear,197.4837,198.8461,133.8524,113.381,97.4837,98.8461,33.8524,13.381,1974.837,1988.4607,1617.801,260.8939,5
2024-04-18,1,bear,197.6219,198.8995,133.5769,113.4945,97.6219,98.8995,33.5769,13.4945,1976.2194,1988.9955,1644.6101,238.875,4
2024-04-19,1,bear,199.3783,200.1246,132.411,114.2038,99.3783,100.1246,32.411,14.2038,1993.7831,2001.2455,1658.8396,231.4204,4
2024-04-22,1,bear,199.8507,200.1952,133.6304,114.7287,99.8507,100.1952,33.6304,14.7287,1998.5074,2001.9515,1658.8396,235.9799,4
2024-04-23,1,bear,200.7116,200.7324,135.2161,115.1543,100.7116,100.7324,35.2161,15.1543,2007.1159,2007.324,1658.8396,240.9466,4
2024-04-24,1,bear,200.7787,200.6052,135.152,115.4097,100.7787,100.6052,35.152,15.4097,2007.7873,2006.0519,1658.8396,244.9705,4
2024-04-25,1,bear,200.1851,200.1517,134.6385,115.2253,100.1851,100.1517,34.6385,15.2253,2001.8509,2001.5174,1668.8075,233.6078,4
